smiles,measured log solubility in mols per litre
N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)C1:C:C:C:C:C:1,-0.77
CC1:O:C:C:C:1C(=O)NC1:C:C:C:C:C:1,-3.3
CC(C)=CCCC(C)=CC=O,-2.06
C1:C:C:C2:C(:C:1):C:C:C1:C:2:C:C:C2:C3:C:C:C:C:C:3:C:C:C:2:1,-7.87
C1:C:C:S:C:1,-1.33
C1:C:C:C2:S:C:N:C:2:C:1,-1.5
ClC1:C:C(Cl):C(C2:C(Cl):C:C:C:C:2Cl):C(Cl):C:1,-7.32
CC12CCC3C4:C:C:C(O):C:C:4CCC3C1CCC2O,-5.03
ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,-6.29
C=C(C)C1CC2:C(:C:C:C3:C:2OC2COC4:C:C(OC):C(OC):C:C:4C2C3=O)O1,-4.42
O=C1CCCN1,1.07
ClC1:C:C:C2:C:C:C:C:C:2:C:1,-4.14
C=CCCC,-2.68
CCC1(C2:C:C:C:C:C:2)C(=O)NCNC1=O,-2.64
CCCCCCCCCCCCCC,-7.96
CC(C)Cl,-1.41
CCC(C)CO,-0.47
N#CC1:C:C:C:C:C:1,-1
CCOP(=S)(OCC)OC1:C:C(C):N:C(C(C)C):N:1,-3.64
CCCCCCCCCC(C)O,-2.94
ClC1:C:C:C(C2:C(Cl):C:C:C(Cl):C:2Cl):C(Cl):C:1,-7.43
O=C1:[NH]:C2:C(:C(=O):N:1C1CCCCC1)CCC2,-4.594
CCOP(=S)(OCC)SCSCC,-4.11
CCOC1:C:C:C(NC(C)=O):C:C:1,-2.35
CCN(CC)C1:C([N+](=O)[O-]):C:C(C(F)(F)F):C(N):C:1[N+](=O)[O-],-5.47
CCCCCCCO,-1.81
CN1:C(=O):C2:[NH]:C:N:C:2:N(C):C:1=O,-1.39
CCCCC1(CC)C(=O)NC(=O)NC1=O,-1.661
ClC(Cl)=C(C1:C:C:C(Cl):C:C:1)C1:C:C:C(Cl):C:C:1,-6.9
CCCCCCCC(=O)OC,-3.17
CCC1:C:C:C(CC):C:C:1,-3.75
CCOP(=S)(OCC)SCSC(C)(C)C,-4.755
COC(=O)NC1:C:C:C:C(OC(=O)NC2:C:C:C:C(C):C:2):C:1,-4.805
C=C(Cl)Cl,-1.64
CC1:C:C:C:C2:C:1CC1:C:C:C:C:C:12,-5.22
CCCCC=O,-0.85
C1:C:C:C(NC2:C:C:C:C:C:2):C:C:1,-3.504
CN(C)C(=O)SCCCCOC1:C:C:C:C:C:1,-3.927
CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,-4.15
CCCCCCCI,-4.81
ClC1:C:C:C:C(C2:C:C:C:C:C:2):C:1,-4.88
C=CCCCO,-0.15
O=C1NC(=O)C2(CCC2)C(=O)N1,-1.655
CC1CCC(C(C)C)C(O)C1,-2.53
CC(C)OC=O,-0.63
CCCCCC(C)O,-1.55
CC(=O)NC1:C:C:C(Br):C:C:1,-3.083
NC1:C:N:N(C2:C:C:C:C:C:2):C(=O):C:1Br,-3.127
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1C1:C:C:C:C:C:1[N+](=O)[O-],-4.76
CC1:C:C:C2:C:C:C(C):N:C:2:C:1,-1.94
C#CCCCCCC,-3.66
CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,-2.17
C1:C:C:C2:C(:C:1):C:C:C1:C3:C:C:C:C:C:3:C:C:C:2:1,-8.057
CCC(C)N1:C(=O):[NH]:C(C):C(Br):C:1=O,-2.523
ClC1:C:C:C:C(C2:C(Cl):C(Cl):C:C(Cl):C:2Cl):C:1Cl,-8.6
CC1:C:C:C:C:C:1O,-0.62
CC(C)CCC(C)(C)C,-5.05
CC1:C:C:C(C):C2:C:C:C:C:C:1:2,-4.14
CC1:C:C2:C3:C:C:C:C:C:3:C:C:C:2:C2:C:C:C:C:C:1:2,-6.57
